Title,PubDate,Author,,,,,,,,,,,,,,,,,,,,,
Democracy,1880,Adams Henry,,,,,,,,,,,,,,,,,,,,,
The Stillwater tragedy,1880,Aldrich Thomas Bailey,,,,,,,,,,,,,,,,,,,,,
Louisiana,1880,Burnett Frances Hodgson,,,,,,,,,,,,,,,,,,,,,
The Grandissimes,1880,Cable George Washington,,,,,,,,,,,,,,,,,,,,,
Hope Mills: or: Between friend and sweetheart,1880,Douglas Amanda M.,,,,,,,,,,,,,,,,,,,,,
The harvest of years,1880,Ewell M. L. B.,,,,,,,,,,,,,,,,,,,,,
Confidence,1880,James Henry,,,,,,,,,,,,,,,,,,,,,
A bundle of letters,1880,James Henry,,,,,,,,,,,,,,,,,,,,,
The diary of a man of fifty,1880,James Henry,,,,,,,,,,,,,,,,,,,,,
Bucholz and the detectives,1880,Pinkerton Allan,,,,,,,,,,,,,,,,,,,,,
A day of fate,1880,Roe Edward Payson,,,,,,,,,,,,,,,,,,,,,
The end of a coil,1880,Warner Susan,,,,,,,,,,,,,,,,,,,,,
Rodman the keeper,1880,Woolson Constance Fenimore,,,,,,,,,,,,,,,,,,,,,
Madame Delphine,1881,Cable George Washington,,,,,,,,,,,,,,,,,,,,,
The sword of Damocles,1881,Green Anna Katharine,,,,,,,,,,,,,,,,,,,,,
A modern instance,1881,Howells William Dean,,,,,,,,,,,,,,,,,,,,,
A chance acquaintance,1881,Howells William Dean,,,,,,,,,,,,,,,,,,,,,
The portrait of a lady,1881,James Henry,,,,,,,,,,,,,,,,,,,,,
Shadows of Shasta,1881,Miller Joaquin,,,,,,,,,,,,,,,,,,,,,
Without a home,1881,Roe Edward Payson,,,,,,,,,,,,,,,,,,,,,
The prince and the pauper,1881,Twain Mark,,,,,,,,,,,,,,,,,,,,,
Sharing her crime,1882,Fleming May Agnes,,,,,,,,,,,,,,,,,,,,,
Sevenoaks,1882,Holland J. G.,,,,,,,,,,,,,,,,,,,,,
Roderick Hudson,1882,James Henry,,,,,,,,,,,,,,,,,,,,,
The talking leaves,1882,Stoddard William Osborn,,,,,,,,,,,,,,,,,,,,,
Anne,1882,Woolson Constance Fenimore,,,,,,,,,,,,,,,,,,,,,
Old Creole days,1883,Cable George Washington,,,,,,,,,,,,,,,,,,,,,
Doctor Claudius,1883,Crawford F. Marion,,,,,,,,,,,,,,,,,,,,,
A castle in Spain,1883,De Mille James,,,,,,,,,,,,,,,,,,,,,
Hand and ring,1883,Green Anna Katharine,,,,,,,,,,,,,,,,,,,,,
X Y Z,1883,Green Anna Katharine,,,,,,,,,,,,,,,,,,,,,
Elsie Venner,1883,Holmes Oliver Wendell,,,,,,,,,,,,,,,,,,,,,
The guardian angel,1883,Holmes Oliver Wendell,,,,,,,,,,,,,,,,,,,,,
Only an incident,1883,Litchfield Grace Denio,,,,,,,,,,,,,,,,,,,,,
The red acorn,1883,McElroy John,,,,,,,,,,,,,,,,,,,,,
Peck's bad boy and his pa,1883,Peck George W.,,,,,,,,,,,,,,,,,,,,,
The burglar's fate and the detectives,1883,Pinkerton Allan,,,,,,,,,,,,,,,,,,,,,
Evacuation day: 1783,1883,Riker James,,,,,,,,,,,,,,,,,,,,,
His sombre rivals,1883,Roe Edward Payson,,,,,,,,,,,,,,,,,,,,,
Esther,1884,Adams Henry,,,,,,,,,,,,,,,,,,,,,
Miss Ludington's sister,1884,Bellamy Edward,,,,,,,,,,,,,,,,,,,,,
A Roman singer,1884,Crawford F. Marion,,,,,,,,,,,,,,,,,,,,,
Floyd Grandon's honor,1884,Douglas Amanda M.,,,,,,,,,,,,,,,,,,,,,
Mingo,1884,Harris Joel Chandler,,,,,,,,,,,,,,,,,,,,,
On the frontier,1884,Harte Bret,,,,,,,,,,,,,,,,,,,,,
Archibald Malmaison,1884,Hawthorne Julian,,,,,,,,,,,,,,,,,,,,,
The professor at the breakfast-table,1884,Holmes Oliver Wendell,,,,,,,,,,,,,,,,,,,,,
Ramona,1884,Jackson Helen Hunt,,,,,,,,,,,,,,,,,,,,,
The Entailed Hat; or Patty Cannon'sTimes,1884,George Townsend,,,,,,,,,,,,,,,,,,,,,
A country doctor,1884,Jewett Sarah Orne,,,,,,,,,,,,,,,,,,,,,
The children of the king,1885,Crawford F. Marion,,,,,,,,,,,,,,,,,,,,,
By shore and sedge,1885,Harte Bret,,,,,,,,,,,,,,,,,,,,,
Maruja,1885,Harte Bret,,,,,,,,,,,,,,,,,,,,,
The poet at the breakfast-table,1885,Holmes Oliver Wendell,,,,,,,,,,,,,,,,,,,,,
The squatter and the don,1885,Loyal C,,,,,,,,,,,,,,,,,,,,,
Barriers burned away,1885,Roe Edward Payson,,,,,,,,,,,,,,,,,,,,,
Opening a chestnut burr,1885,Roe Edward Payson,,,,,,,,,,,,,,,,,,,,,
An original belle,1885,Roe Edward Payson,,,,,,,,,,,,,,,,,,,,,
The queen of Sheba,1886,Aldrich Thomas Bailey,,,,,,,,,,,,,,,,,,,,,
Little Lord Fauntleroy,1886,Burnett Frances Hodgson,,,,,,,,,,,,,,,,,,,,,
A tale of a lonely parish,1886,Crawford F. Marion,,,,,,,,,,,,,,,,,,,,,
A romantic young lady,1886,Grant Robert,,,,,,,,,,,,,,,,,,,,,
The Bostonians,1886,James Henry,,,,,,,,,,,,,,,,,,,,,
Princess,1886,McClelland M. G.,,,,,,,,,,,,,,,,,,,,,
Dyke Darrel: the railroad detective: or: The crime of the midnight express,1886,Pinkerton Frank,,,,,,,,,,,,,,,,,,,,,
He fell in love with his wife,1886,Roe Edward Payson,,,,,,,,,,,,,,,,,,,,,
From jest to earnest,1886,Roe Edward Payson,,,,,,,,,,,,,,,,,,,,,
Two Arrows,1886,Stoddard William Osborn,,,,,,,,,,,,,,,,,,,,,
The Birds' Christmas Carol,1886,Wiggin Kate Douglas Smith,,,,,,,,,,,,,,,,,,,,,
East Angels,1886,Woolson Constance Fenimore,,,,,,,,,,,,,,,,,,,,,
The story of a New York house,1887,Bunner H. C.,,,,,,,,,,,,,,,,,,,,,
Saracinesca,1887,Crawford F. Marion,,,,,,,,,,,,,,,,,,,,,
Paul Patoff,1887,Crawford F. Marion,,,,,,,,,,,,,,,,,,,,,
The Graysons,1887,Eggleston Edward,,,,,,,,,,,,,,,,,,,,,
At the mercy of Tiberius,1887,Evans Augusta J.,,,,,,,,,,,,,,,,,,,,,
Inez,1887,Evans Augusta J.,,,,,,,,,,,,,,,,,,,,,
